candidate_id,species,chromosome,start,end,shin_label,fuzzy_score,balanced_prediction,moderate_prediction,strict_prediction,rank_fuzzy,hunter_weighted_hit_fraction,rank_hunter_weighted,rank_shift_vs_hunter_weighted,hunter_max_overlap_pct,rank_hunter_overlap,rank_shift_vs_hunter_overlap,hunter_max_raw_score,tss_distance_bp,grid_hit_m2_l6_t30,grid_overlap_pct_m2_l6_t30,grid_hit_m2_l10_t60,grid_overlap_pct_m2_l10_t60,component_signal,component_context,component_evidence,component_bias,component_feasibility,top_rules
SHIN_REAL_NEGATIVE_ZFS_18,Homo_sapiens_shin2016,chr12,123990004,123990032,negative,19.1460,0,0,0,277,0.394489,207,-70,1.6026,337,60,55.5556,24474,1,1.6026,0,0.0000,37.4315,40.8899,51.7695,73.229,92.1565,AF9:1.000;AF12:0.898
SHIN_REAL_NEGATIVE_ZFS_19,Homo_sapiens_shin2016,chr1,165950418,165950801,negative,18.7497,0,0,0,319,0.394489,208,-111,1.8229,298,-21,66.6667,7031,1,1.8229,0,0.0000,37.2954,55.9624,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.907
SHIN_REAL_NEGATIVE_ZFS_2,Homo_sapiens_shin2016,chr5,36550368,36550751,negative,18.6744,0,0,0,324,0.394489,209,-115,1.8229,299,-25,75.0000,91695,1,1.8229,0,0.0000,37.7278,27.2599,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.877
SHIN_REAL_NEGATIVE_ZFS_20,Homo_sapiens_shin2016,chr1,233900105,233900488,negative,17.9173,0,0,0,371,0.394489,210,-161,2.0833,257,-114,35.7143,19428,1,2.0833,0,0.0000,35.6891,32.4819,51.7695,74.3813,92.0375,AF9:1.000;AF12:1.000
SHIN_REAL_NEGATIVE_ZFS_21,Homo_sapiens_shin2016,chr17,54111742,54111759,negative,18.7406,0,0,0,321,0.394489,211,-110,2.3438,219,-102,62.5000,12656,1,2.3438,0,0.0000,37.0791,24.2329,51.7695,73.526,92.125,AF9:1.000;AF12:0.923
SHIN_REAL_NEGATIVE_ZFS_22,Homo_sapiens_shin2016,chr12,94953790,94954173,negative,18.1692,0,0,0,359,0.394489,212,-147,2.3438,220,-139,31.2500,294,1,2.3438,0,0.0000,35.4575,71.754,51.7695,74.3813,92.0375,AF9:1.000;AF12:1.000
SHIN_REAL_NEGATIVE_ZFS_23,Homo_sapiens_shin2016,chr11,57265224,57265607,negative,18.4480,0,0,0,340,0.394489,213,-127,1.8229,300,-40,58.3333,20203,1,1.8229,0,0.0000,36.8629,40.8899,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.938
SHIN_REAL_NEGATIVE_ZFS_24,Homo_sapiens_shin2016,chr1,90243159,90243542,negative,18.3722,0,0,0,348,0.394489,214,-134,1.5625,343,-5,55.0000,9893,1,1.5625,0,0.0000,36.6899,40.0583,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.951
SHIN_REAL_NEGATIVE_ZFS_25,Homo_sapiens_shin2016,chr10,57800511,57800894,negative,18.0809,0,0,0,363,0.394489,215,-148,2.3438,221,-142,40.6250,9471,1,2.3438,0,0.0000,35.944,40.3936,51.7695,74.3813,92.0375,AF9:1.000;AF12:1.000
SHIN_REAL_NEGATIVE_ZFS_26,Homo_sapiens_shin2016,chr15,36533447,36533455,negative,19.0968,0,0,0,286,0.394489,216,-70,2.0833,258,-28,60.7143,165,1,2.0833,0,0.0000,36.9865,90.7109,51.7695,73.9655,92.0795,AF9:1.000;AF12:0.929
SHIN_REAL_NEGATIVE_ZFS_27,Homo_sapiens_shin2016,chr9,37790580,37790963,negative,19.2214,1,0,0,266,0.394489,217,-49,1.8229,301,35,75.0000,0,1,1.8229,0,0.0000,37.7278,90.7109,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.877
SHIN_REAL_NEGATIVE_ZFS_28,Homo_sapiens_shin2016,chr1,146273122,146273505,negative,18.6886,0,0,0,323,0.394489,218,-105,1.5625,344,21,70.0000,148869,1,1.5625,0,0.0000,37.4683,40.8899,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.895
SHIN_REAL_NEGATIVE_ZFS_29,Homo_sapiens_shin2016,chr5,17271480,17271488,negative,18.9592,0,0,0,305,0.394489,219,-86,2.0833,259,-46,64.2857,730,1,2.0833,0,0.0000,37.1718,66.211,51.7695,73.9655,92.0795,AF9:1.000;AF12:0.916
SHIN_REAL_NEGATIVE_ZFS_3,Homo_sapiens_shin2016,chr21,17748809,17748817,negative,19.0706,0,0,0,292,0.394489,220,-72,2.0833,260,-32,85.7143,58384,1,2.0833,0,0.0000,38.2838,13.63,51.7695,73.6686,92.111,AF9:1.000;AF12:0.837
SHIN_REAL_NEGATIVE_ZFS_30,Homo_sapiens_shin2016,chr1,143811423,143811806,negative,17.8723,0,0,0,374,0.394489,221,-153,2.0833,261,-113,35.7143,23871,1,2.0833,0,0.0000,35.6891,27.2599,51.7695,74.3813,92.0375,AF9:1.000;AF12:1.000
SHIN_REAL_NEGATIVE_ZFS_31,Homo_sapiens_shin2016,chr8,100094284,100094667,negative,19.3939,1,0,0,251,0.394489,222,-29,1.8229,302,51,83.3333,3,1,1.8229,0,0.0000,38.1603,90.7109,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.846
SHIN_REAL_NEGATIVE_ZFS_32,Homo_sapiens_shin2016,chr7,134997710,134997718,negative,18.9664,0,0,0,302,0.394489,223,-79,2.0833,262,-40,75.0000,65756,1,2.0833,0,0.0000,37.7278,27.2599,51.7695,73.6686,92.111,AF9:1.000;AF12:0.877
SHIN_REAL_NEGATIVE_ZFS_33,Homo_sapiens_shin2016,chr1,143739565,143739948,negative,18.1571,0,0,0,361,0.394489,224,-137,1.5625,345,-16,45.0000,11283,1,1.5625,0,0.0000,36.171,38.9538,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.988
SHIN_REAL_NEGATIVE_ZFS_34,Homo_sapiens_shin2016,chr1,85373053,85373436,negative,18.2619,0,0,0,353,0.394489,225,-128,1.5625,346,-7,55.0000,65880,1,1.5625,0,0.0000,36.6899,27.2599,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.951
SHIN_REAL_NEGATIVE_ZFS_35,Homo_sapiens_shin2016,chr1,44959797,44960180,negative,18.3856,0,0,0,346,0.394489,226,-120,1.8229,303,-43,58.3333,17958,1,1.8229,0,0.0000,36.8629,33.65,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.938
SHIN_REAL_NEGATIVE_ZFS_36,Homo_sapiens_shin2016,chr1,67313971,67314354,negative,-1.0000,0,0,0,377,0.000000,377,0,0.0000,377,0,0.0000,21303,0,0.0000,0,0.0000,0.3633,40.8899,3.6765,71.5895,92.0375,
SHIN_REAL_NEGATIVE_ZFS_37,Homo_sapiens_shin2016,chr5,17269990,17270373,negative,-1.0000,0,0,0,378,0.000000,378,0,0.0000,378,0,0.0000,135,0,0.0000,0,0.0000,0.3633,90.7109,3.6765,71.5895,92.0375,
SHIN_REAL_NEGATIVE_ZFS_38,Homo_sapiens_shin2016,chr1,203447166,203447549,negative,19.3248,1,0,0,256,0.394489,227,-29,1.5625,347,91,80.0000,0,1,1.5625,0,0.0000,37.9873,90.7109,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.858
SHIN_REAL_NEGATIVE_ZFS_39,Homo_sapiens_shin2016,chr5,26528894,26528902,negative,18.2181,0,0,0,356,0.394489,228,-128,2.3438,222,-134,43.7500,545544,1,2.3438,0,0.0000,36.4466,13.63,51.7695,73.9655,92.0795,AF9:1.000;AF12:0.968
SHIN_REAL_NEGATIVE_ZFS_4,Homo_sapiens_shin2016,chr11,7965085,7965468,negative,18.4194,0,0,0,343,0.394489,229,-114,2.0833,263,-80,35.7143,0,1,2.0833,0,0.0000,35.6891,90.7109,51.7695,74.3813,92.0375,AF9:1.000;AF12:1.000
SHIN_REAL_NEGATIVE_ZFS_40,Homo_sapiens_shin2016,chrX,18912749,18913132,negative,19.0329,0,0,0,297,0.394489,230,-67,1.5625,348,51,70.0000,652,1,1.5625,0,0.0000,37.4683,80.8326,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.895
SHIN_REAL_NEGATIVE_ZFS_41,Homo_sapiens_shin2016,chr2,47257178,47257561,negative,19.0149,0,0,0,299,0.394489,231,-68,1.5625,349,50,65.0000,24,1,1.5625,0,0.0000,37.2089,90.7109,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.914
SHIN_REAL_NEGATIVE_ZFS_42,Homo_sapiens_shin2016,chr1,247134648,247135031,negative,18.2680,0,0,0,352,0.394489,232,-120,1.8229,304,-48,45.8333,14741,1,1.8229,0,0.0000,36.2142,49.8361,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.985
SHIN_REAL_NEGATIVE_ZFS_43,Homo_sapiens_shin2016,chr1,159664329,159664712,negative,18.2447,0,0,0,355,0.394489,233,-122,1.8229,305,-50,54.1667,60041,1,1.8229,0,0.0000,36.6467,27.2599,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.954
SHIN_REAL_NEGATIVE_ZFS_44,Homo_sapiens_shin2016,chr4,24834481,24834489,negative,18.5401,0,0,0,335,0.394489,234,-101,2.0833,264,-71,60.7143,10262,1,2.0833,0,0.0000,36.9865,26.1351,51.7695,73.9655,92.0795,AF9:1.000;AF12:0.929
SHIN_REAL_NEGATIVE_ZFS_45,Homo_sapiens_shin2016,chr1,85754617,85755000,negative,17.9131,0,0,0,372,0.394489,235,-137,2.3438,223,-149,43.7500,51206,1,2.3438,0,0.0000,36.1061,13.63,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.992
SHIN_REAL_NEGATIVE_ZFS_46,Homo_sapiens_shin2016,chr1,85777672,85778055,negative,17.8584,0,0,0,375,0.394489,236,-139,1.5625,350,-25,35.0000,40986,1,1.5625,0,0.0000,35.6521,27.2599,51.7695,74.3813,92.0375,AF9:1.000;AF12:1.000
SHIN_REAL_NEGATIVE_ZFS_47,Homo_sapiens_shin2016,chr12,97421271,97421654,negative,18.5447,0,0,0,334,0.394489,237,-97,1.8229,306,-28,58.3333,11882,1,1.8229,0,0.0000,36.8629,52.1078,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.938
SHIN_REAL_NEGATIVE_ZFS_48,Homo_sapiens_shin2016,chr1,146202375,146202758,negative,18.0948,0,0,0,362,0.394489,238,-124,2.3438,224,-138,46.8750,125670,1,2.3438,0,0.0000,36.2683,27.2599,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.981
SHIN_REAL_NEGATIVE_ZFS_49,Homo_sapiens_shin2016,chr11,62365478,62365486,negative,19.1526,0,0,0,276,0.394489,239,-37,2.0833,265,-11,71.4286,1769,1,2.0833,0,0.0000,37.5425,57.4245,51.7695,73.6686,92.111,AF9:1.000;AF12:0.890
SHIN_REAL_NEGATIVE_ZFS_5,Homo_sapiens_shin2016,chr8,121526403,121526786,negative,18.9634,0,0,0,304,0.394489,240,-64,1.8229,307,3,62.5000,42,1,1.8229,0,0.0000,37.0791,90.7109,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.923
SHIN_REAL_NEGATIVE_ZFS_50,Homo_sapiens_shin2016,chr7,40140627,40141010,negative,18.6204,0,0,0,327,0.394489,241,-86,1.8229,308,-19,45.8333,0,1,1.8229,0,0.0000,36.2142,90.7109,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.985
SHIN_REAL_NEGATIVE_ZFS_51,Homo_sapiens_shin2016,chr1,159766587,159766595,negative,18.6338,0,0,0,326,0.394489,242,-84,2.6042,188,-138,44.4444,5927,1,2.6042,0,0.0000,36.8409,29.5796,51.7695,73.6686,92.111,AF9:1.000;AF12:0.940
SHIN_REAL_NEGATIVE_ZFS_52,Homo_sapiens_shin2016,chr3,187983692,187984075,negative,-1.0000,0,0,0,379,0.000000,379,0,0.0000,379,0,0.0000,0,0,0.0000,0,0.0000,0.3633,90.7109,3.6765,71.5895,92.0375,
SHIN_REAL_NEGATIVE_ZFS_53,Homo_sapiens_shin2016,chr1,161558055,161558438,negative,19.1181,0,0,0,279,0.394489,243,-36,1.5625,351,72,70.0000,0,1,1.5625,0,0.0000,37.4683,90.7109,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.895
SHIN_REAL_NEGATIVE_ZFS_54,Homo_sapiens_shin2016,chr6,52968434,52968451,negative,19.0775,0,0,0,291,0.394489,244,-47,2.3438,225,-66,59.3750,335,1,2.3438,0,0.0000,36.917,84.8628,51.7695,73.823,92.097,AF9:1.000;AF12:0.934
SHIN_REAL_NEGATIVE_ZFS_55,Homo_sapiens_shin2016,chr12,107974551,107974934,negative,18.4823,0,0,0,338,0.394489,245,-93,0.7812,375,37,60.0000,29274,1,0.7812,0,0.0000,36.9494,40.8899,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.932
SHIN_REAL_NEGATIVE_ZFS_56,Homo_sapiens_shin2016,chrY,10647661,10648044,negative,18.6198,0,0,0,329,0.394489,246,-83,1.8229,309,-20,66.6667,508952,1,1.8229,0,0.0000,37.2954,40.8899,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.907
SHIN_REAL_NEGATIVE_ZFS_57,Homo_sapiens_shin2016,chr5,45018849,45019232,negative,17.9677,0,0,0,367,0.394489,247,-120,2.3438,226,-141,40.6250,174065,1,2.3438,0,0.0000,35.944,27.2599,51.7695,74.3813,92.0375,AF9:1.000;AF12:1.000
SHIN_REAL_NEGATIVE_ZFS_58,Homo_sapiens_shin2016,chr1,143731754,143731763,negative,18.3941,0,0,0,345,0.394489,248,-97,2.3438,227,-118,50.0000,19468,1,2.3438,0,0.0000,36.4564,32.4502,51.7695,73.9418,92.083,AF9:1.000;AF12:0.967
SHIN_REAL_NEGATIVE_ZFS_59,Homo_sapiens_shin2016,chr7,96906929,96907312,negative,18.0563,0,0,0,365,0.394489,249,-116,2.8646,181,-184,45.0000,291999,1,2.8646,0,0.0000,36.171,27.2599,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.988
SHIN_REAL_NEGATIVE_ZFS_6,Homo_sapiens_shin2016,chrX,73080617,73080625,negative,18.4027,0,0,0,344,0.394489,250,-94,2.0833,266,-78,53.5714,69019,1,2.0833,0,0.0000,36.6158,27.2599,51.7695,73.9655,92.0795,AF9:1.000;AF12:0.956
SHIN_REAL_NEGATIVE_ZFS_60,Homo_sapiens_shin2016,chr18,75883594,75883977,negative,18.2592,0,0,0,354,0.394489,251,-103,1.8229,310,-44,50.0000,11369,1,1.8229,0,0.0000,36.4305,38.8855,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.969
SHIN_REAL_NEGATIVE_ZFS_61,Homo_sapiens_shin2016,chr1,147490621,147490718,negative,18.1738,0,0,0,358,0.394489,252,-106,6.1224,159,-199,45.0000,530194,1,6.1224,0,0.0000,36.171,40.8899,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.988
SHIN_REAL_NEGATIVE_ZFS_62,Homo_sapiens_shin2016,chr2,3600394,3600777,negative,19.1181,0,0,0,280,0.394489,253,-27,1.5625,352,72,70.0000,0,1,1.5625,0,0.0000,37.4683,90.7109,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.895
SHIN_REAL_NEGATIVE_ZFS_63,Homo_sapiens_shin2016,chr1,28847563,28847589,negative,19.0592,0,0,0,294,0.394489,254,-40,2.3438,228,-66,59.3750,5391,1,2.3438,0,0.0000,37.0174,57.2655,51.7695,73.3835,92.139,AF9:1.000;AF12:0.927
SHIN_REAL_NEGATIVE_ZFS_64,Homo_sapiens_shin2016,chr2,6902966,6903349,negative,18.2005,0,0,0,357,0.394489,255,-102,1.5625,353,-4,50.0000,19945,1,1.5625,0,0.0000,36.4305,32.0711,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.969
SHIN_REAL_NEGATIVE_ZFS_65,Homo_sapiens_shin2016,chr1,159848997,159849380,negative,18.5000,0,0,0,336,0.394489,256,-80,1.8229,311,-25,58.3333,18402,1,1.8229,0,0.0000,36.8629,46.9271,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.938
SHIN_REAL_NEGATIVE_ZFS_66,Homo_sapiens_shin2016,chr1,159635945,159635953,negative,19.0101,0,0,0,300,0.394489,257,-43,2.0833,267,-33,71.4286,31657,1,2.0833,0,0.0000,37.5425,40.8899,51.7695,73.6686,92.111,AF9:1.000;AF12:0.890
SHIN_REAL_NEGATIVE_ZFS_68,Homo_sapiens_shin2016,chr17,44624718,44625101,negative,18.3406,0,0,0,349,0.394489,258,-91,1.5625,354,5,50.0000,16641,1,1.5625,0,0.0000,36.4305,48.3264,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.969
SHIN_REAL_NEGATIVE_ZFS_69,Homo_sapiens_shin2016,chr5,36912973,36913356,negative,-1.0000,0,0,0,380,0.000000,380,0,0.0000,380,0,0.0000,324,0,0.0000,0,0.0000,0.3633,85.0026,3.6765,71.5895,92.0375,
SHIN_REAL_NEGATIVE_ZFS_7,Homo_sapiens_shin2016,chr1,143733530,143733913,negative,18.4442,0,0,0,341,0.394489,259,-82,1.8229,312,-29,66.6667,17318,1,1.8229,0,0.0000,37.2954,20.5285,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.907
SHIN_REAL_NEGATIVE_ZFS_70,Homo_sapiens_shin2016,chr21,32906515,32906898,negative,19.1181,0,0,0,281,0.394489,260,-21,1.5625,355,74,70.0000,0,1,1.5625,0,0.0000,37.4683,90.7109,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.895
SHIN_REAL_NEGATIVE_ZFS_71,Homo_sapiens_shin2016,chr3,170972562,170972945,negative,18.5530,0,0,0,333,0.394489,261,-72,2.0833,268,-65,46.4286,602,1,2.0833,0,0.0000,36.2451,81.4683,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.983
SHIN_REAL_NEGATIVE_ZFS_72,Homo_sapiens_shin2016,chr16,22217195,22217578,negative,18.9999,0,0,0,301,0.394489,262,-39,1.5625,356,55,70.0000,953,1,1.5625,0,0.0000,37.4683,77.0059,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.895
SHIN_REAL_NEGATIVE_ZFS_73,Homo_sapiens_shin2016,chr1,148249163,148249171,negative,19.6177,1,1,1,230,0.394489,263,33,2.0833,269,39,85.7143,139,1,2.0833,0,0.0000,38.2838,77.0809,51.7695,73.6686,92.111,AF9:1.000;AF12:0.837
SHIN_REAL_NEGATIVE_ZFS_8,Homo_sapiens_shin2016,chr5,58203783,58204166,negative,17.8800,0,0,0,373,0.394489,264,-109,2.6042,189,-184,36.1111,289087,1,2.6042,0,0.0000,35.7097,27.2599,51.7695,74.3813,92.0375,AF9:1.000;AF12:1.000
SHIN_REAL_NEGATIVE_ZFS_9,Homo_sapiens_shin2016,chr1,143807573,143807956,negative,-1.0000,0,0,0,381,0.000000,381,0,0.0000,381,0,0.0000,20021,0,0.0000,0,0.0000,0.3633,40.8899,3.6765,71.5895,92.0375,
SHIN_REAL_POSITIVE_ZFS_0,Homo_sapiens_shin2016,chr17,77648470,77648480,positive,44.2832,1,1,1,194,1.000000,2,-192,2.6042,190,-4,77.7778,915,1,2.6042,1,2.6042,81.2547,77.489,72.1517,73.039,92.1775,AF9:0.154
SHIN_REAL_POSITIVE_ZFS_1,Homo_sapiens_shin2016,chr8,124477662,124477681,positive,63.0883,1,1,1,35,1.000000,3,-32,2.6042,191,156,100.0000,187,1,2.6042,1,2.6042,82.4079,90.7109,72.1517,50.3261,94.519,AF4:0.846
SHIN_REAL_POSITIVE_ZFS_10,Homo_sapiens_shin2016,chr3,150952814,150953197,positive,19.3248,1,0,0,257,0.394489,265,8,1.5625,357,100,80.0000,0,1,1.5625,0,0.0000,37.9873,90.7109,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.858
SHIN_REAL_POSITIVE_ZFS_100,Homo_sapiens_shin2016,chr5,26070250,26070306,positive,62.2365,1,1,1,117,1.000000,4,-113,14.5833,72,-45,67.2727,1004140,1,14.5833,1,14.5833,82.0748,27.2599,72.1517,49.7559,94.5785,AF4:0.846;AF6:0.154
SHIN_REAL_POSITIVE_ZFS_101,Homo_sapiens_shin2016,chr6,111242939,111242956,positive,63.0737,1,1,1,39,1.000000,5,-34,4.4271,167,128,100.0000,149,1,4.4271,1,4.4271,82.4079,90.7109,72.1517,50.3617,94.5155,AF4:0.846
SHIN_REAL_POSITIVE_ZFS_102,Homo_sapiens_shin2016,chr3,171238940,171238982,positive,62.9988,1,1,1,51,1.000000,6,-45,8.5938,138,87,77.3438,415,1,8.5938,1,8.5938,81.9372,83.8457,72.1517,49.9697,94.554,AF4:0.846
SHIN_REAL_POSITIVE_ZFS_103,Homo_sapiens_shin2016,chr5,140085801,140086184,positive,18.7919,0,0,0,313,0.394489,266,-47,1.8229,313,0,75.0000,25585,1,1.8229,0,0.0000,37.7278,40.8899,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.877
SHIN_REAL_POSITIVE_ZFS_104,Homo_sapiens_shin2016,chr15,62466880,62466888,positive,18.8275,0,0,0,310,0.394489,267,-43,2.0833,270,-40,53.5714,185,1,2.0833,0,0.0000,36.6158,77.0809,51.7695,73.9774,92.0795,AF9:1.000;AF12:0.956
SHIN_REAL_POSITIVE_ZFS_105,Homo_sapiens_shin2016,chr9,111918290,111918363,positive,57.8904,1,1,1,163,1.000000,7,-156,19.0104,32,-131,64.2361,67493,1,19.0104,1,19.0104,81.8469,27.2599,72.1517,58.7009,93.6545,AF4:0.715;AF6:0.154;AF9:0.058
SHIN_REAL_POSITIVE_ZFS_106,Homo_sapiens_shin2016,chr1,143699436,143699444,positive,18.5641,0,0,0,332,0.394489,268,-64,2.0833,271,-61,60.7143,6753,1,2.0833,0,0.0000,36.9865,28.9233,51.7695,73.9655,92.0795,AF9:1.000;AF12:0.929
SHIN_REAL_POSITIVE_ZFS_107,Homo_sapiens_shin2016,chr12,14815012,14815022,positive,44.2662,1,1,1,195,1.000000,8,-187,2.6042,192,-3,69.4444,310,1,2.6042,1,2.6042,81.0322,85.1806,72.1517,73.039,92.1775,AF9:0.154
SHIN_REAL_POSITIVE_ZFS_108,Homo_sapiens_shin2016,chr1,144094029,144094056,positive,46.7558,1,1,1,189,1.000000,9,-180,2.6042,193,4,63.8889,30572,1,2.6042,1,2.6042,81.1988,13.63,72.1517,72.7776,92.202,AF9:0.154;AF6:0.136
SHIN_REAL_POSITIVE_ZFS_109,Homo_sapiens_shin2016,chr3,129688168,129688192,positive,19.6894,1,1,1,226,0.394489,269,43,2.0833,272,46,92.8571,6526,1,2.0833,0,0.0000,38.6545,56.3636,51.7695,73.4191,92.1355,AF9:1.000;AF12:0.810
SHIN_REAL_POSITIVE_ZFS_11,Homo_sapiens_shin2016,chr19,52377457,52377515,positive,57.6256,1,1,1,177,1.000000,10,-167,15.1042,65,-112,64.9123,48776,1,15.1042,1,15.1042,81.7001,0.0,72.1517,58.9266,93.63,AF4:0.698;AF9:0.077
SHIN_REAL_POSITIVE_ZFS_110,Homo_sapiens_shin2016,chr20,34144837,34144899,positive,57.5628,1,1,1,179,1.000000,11,-168,16.1458,50,-129,63.9344,61177,1,16.1458,1,16.1458,81.739,13.63,72.1517,58.8672,93.637,AF4:0.703;AF6:0.136;AF9:0.072
SHIN_REAL_POSITIVE_ZFS_111,Homo_sapiens_shin2016,chr15,47501481,47501538,positive,62.9388,1,1,1,57,1.000000,12,-45,12.5000,102,45,69.1489,1213,1,12.5000,1,12.5000,82.0846,59.7439,72.1517,49.744,94.5785,AF4:0.846
SHIN_REAL_POSITIVE_ZFS_112,Homo_sapiens_shin2016,chr17,12440989,12441018,positive,61.8915,1,1,1,142,1.000000,13,-129,7.5521,147,5,78.5714,46978,1,7.5521,1,7.5521,81.8101,13.63,72.1517,50.1717,94.533,AF4:0.846;AF6:0.136
SHIN_REAL_POSITIVE_ZFS_113,Homo_sapiens_shin2016,chr1,100207929,100208312,positive,19.5321,1,1,0,235,0.394489,270,35,1.5625,358,123,90.0000,0,1,1.5625,0,0.0000,38.5062,90.7109,51.7695,74.3813,92.0375,AF9:1.000;AF12:0.821
SHIN_REAL_POSITIVE_ZFS_114,Homo_sapiens_shin2016,chr2,232282255,232282264,positive,19.1877,1,1,1,269,0.394489,271,2,2.3438,229,-40,75.0000,792,1,2.3438,0,0.0000,37.7278,51.7928,51.7695,73.6448,92.1145,AF9:1.000;AF12:0.877
